LapNumber,Compound,TyreLife,LapTimeSeconds
44,MEDIUM,24,76.765
17,MEDIUM,23,75.686
53,MEDIUM,42,78.821
22,MEDIUM,9,73.8
40,HARD,12,74.543
15,SOFT,15,75.584
77,MEDIUM,27,76.778
44,SOFT,12,74.974
48,SOFT,35,80.84
55,MEDIUM,16,74.666
13,MEDIUM,40,78.695
6,SOFT,17,76.11
54,MEDIUM,14,75.076
25,HARD,8,73.37
53,HARD,38,76.536
28,MEDIUM,3,72.105
38,MEDIUM,32,77.047
62,HARD,8,73.824
3,HARD,10,73.306
49,HARD,12,74.278
41,SOFT,25,78.289
22,HARD,21,74.8
20,MEDIUM,49,80.136
54,SOFT,17,76.038
24,SOFT,17,75.183
23,MEDIUM,8,73.228
59,MEDIUM,47,79.503
28,SOFT,39,81.186
17,MEDIUM,18,75.0
13,MEDIUM,39,77.869
13,MEDIUM,18,75.247
21,HARD,21,74.63
73,HARD,15,74.419
53,MEDIUM,44,78.534
1,MEDIUM,47,79.757
9,HARD,11,73.599
57,SOFT,14,74.611
65,HARD,12,73.874
43,HARD,11,74.138
32,HARD,17,74.705
50,HARD,6,73.741
64,MEDIUM,37,77.866
11,SOFT,35,80.115
66,SOFT,21,77.151
6,HARD,17,74.217
28,HARD,38,76.147
43,MEDIUM,49,80.07
52,MEDIUM,13,74.573
58,HARD,46,77.573
56,HARD,46,76.481
40,MEDIUM,48,79.601
72,SOFT,12,74.848
27,MEDIUM,44,79.161
16,SOFT,47,83.181
25,HARD,14,74.364
67,HARD,34,75.963
26,MEDIUM,9,73.18
67,MEDIUM,19,75.212
15,HARD,16,74.05
53,HARD,12,74.406
50,HARD,31,75.341
48,HARD,4,73.196
30,SOFT,2,72.52
49,HARD,21,74.69
38,SOFT,33,79.966
52,SOFT,15,75.657
70,SOFT,5,73.648
47,SOFT,43,82.629
23,SOFT,28,78.344
10,HARD,40,76.216
53,SOFT,45,83.372
56,HARD,37,76.238
59,SOFT,9,73.815
60,MEDIUM,1,73.167
77,HARD,26,75.533
63,HARD,8,73.467
73,MEDIUM,30,77.209
58,HARD,31,75.123
52,HARD,31,75.39
1,SOFT,12,73.847
65,HARD,1,73.38
54,SOFT,42,82.478
8,MEDIUM,38,77.96
17,MEDIUM,47,79.044
45,SOFT,38,81.042
14,MEDIUM,35,77.76
13,MEDIUM,27,76.019
35,SOFT,31,79.252
47,MEDIUM,26,76.052
20,SOFT,26,78.116
4,MEDIUM,18,74.386
13,SOFT,14,74.657
63,HARD,19,74.541
35,HARD,47,76.829
48,HARD,32,75.51
71,SOFT,17,75.919
58,SOFT,6,73.281
68,MEDIUM,37,78.011
45,MEDIUM,4,73.163
66,MEDIUM,28,76.279
31,HARD,43,76.603
45,SOFT,39,80.827
30,SOFT,16,75.29
18,MEDIUM,38,77.557
23,MEDIUM,45,78.449
6,SOFT,30,78.878
18,MEDIUM,32,76.852
73,HARD,40,76.782
11,HARD,3,72.631
4,HARD,17,73.807
32,HARD,5,73.25
35,MEDIUM,6,73.295
77,HARD,11,74.445
3,HARD,42,75.493
73,HARD,41,76.257
47,HARD,10,73.926
25,HARD,30,74.538
25,MEDIUM,45,79.296
41,MEDIUM,30,77.099
48,SOFT,14,75.008
21,HARD,21,74.407
7,MEDIUM,45,78.844
42,MEDIUM,12,74.06
16,MEDIUM,11,73.292
16,SOFT,26,78.25
47,MEDIUM,44,79.358
2,SOFT,4,72.152
27,MEDIUM,27,76.74
46,HARD,47,77.105
12,HARD,40,75.743
36,HARD,17,74.306
69,SOFT,8,73.957
23,SOFT,30,78.787
71,MEDIUM,10,74.164
67,SOFT,29,78.834
47,HARD,36,75.657
64,MEDIUM,21,75.707
55,SOFT,27,78.37
2,MEDIUM,36,77.411
16,MEDIUM,32,77.063
19,MEDIUM,45,78.935
13,HARD,34,75.199
73,HARD,36,75.866
38,HARD,19,74.798
9,SOFT,20,75.952
5,MEDIUM,18,74.911
58,SOFT,22,76.975
34,SOFT,44,82.773
68,HARD,7,73.765
31,HARD,42,76.686
53,SOFT,31,79.987
2,MEDIUM,10,74.077
31,MEDIUM,39,78.503
1,HARD,24,74.836
75,HARD,17,75.439
53,SOFT,47,83.55
75,HARD,26,75.671
75,MEDIUM,43,79.035
54,MEDIUM,27,76.755
16,MEDIUM,49,79.393
60,SOFT,10,74.203
77,MEDIUM,40,79.072
22,HARD,37,76.307
27,SOFT,20,76.186
66,MEDIUM,25,76.657
73,SOFT,12,75.238
65,HARD,2,73.664
24,HARD,36,76.532
66,SOFT,14,75.259
12,SOFT,15,74.754
21,HARD,24,74.925
18,MEDIUM,46,79.288
22,MEDIUM,12,73.954
45,MEDIUM,36,77.874
56,SOFT,36,80.226
33,SOFT,32,79.652
23,MEDIUM,3,73.168
59,SOFT,16,75.654
70,HARD,14,74.604
14,SOFT,45,82.883
27,SOFT,45,82.056
43,HARD,40,75.951
32,MEDIUM,23,75.485
35,SOFT,20,76.541
22,HARD,25,75.195
69,MEDIUM,45,79.035
44,HARD,1,73.104
75,HARD,32,75.676
46,HARD,20,74.657
58,HARD,1,72.798
70,MEDIUM,29,76.841
51,SOFT,48,84.453
76,SOFT,27,78.36
73,SOFT,20,76.711
45,HARD,38,76.582
13,HARD,13,74.535
72,MEDIUM,43,78.843
26,MEDIUM,26,75.795
56,SOFT,20,76.384
39,HARD,48,77.009
11,HARD,14,74.102
27,MEDIUM,42,78.636
46,HARD,6,73.883
42,MEDIUM,49,79.571
11,HARD,7,73.489
25,HARD,4,73.647
46,HARD,37,76.33
13,SOFT,24,77.554
75,SOFT,4,73.354
11,SOFT,7,73.466
28,SOFT,23,76.561
57,HARD,47,76.892
36,HARD,33,75.637
35,MEDIUM,14,73.817
51,SOFT,45,82.999
47,MEDIUM,42,78.541
64,MEDIUM,38,78.941
7,HARD,25,74.917
10,SOFT,10,73.945
50,SOFT,7,73.028
53,SOFT,44,82.635
17,MEDIUM,4,73.372
50,SOFT,7,73.805
8,SOFT,35,80.464
27,MEDIUM,43,78.618
28,MEDIUM,18,74.719
4,HARD,31,75.132
39,SOFT,17,76.163
75,MEDIUM,22,76.004
12,MEDIUM,44,78.978
1,SOFT,7,73.311
6,HARD,26,75.001
30,HARD,37,75.218
33,SOFT,42,82.348
39,MEDIUM,27,76.22
76,SOFT,21,76.902
2,MEDIUM,15,74.567
54,HARD,44,76.712
38,MEDIUM,44,78.96
59,SOFT,33,79.931
68,HARD,18,74.323
22,SOFT,34,79.249
14,SOFT,16,74.908
51,HARD,28,75.724
32,SOFT,22,77.556
69,SOFT,23,77.563
15,MEDIUM,39,78.52
3,HARD,29,74.935
6,HARD,35,75.451
77,HARD,38,76.191
51,HARD,4,73.365
45,SOFT,3,72.903
9,HARD,48,77.601
71,MEDIUM,13,74.636
1,SOFT,44,82.125
72,MEDIUM,43,79.011
60,SOFT,17,75.905
41,MEDIUM,46,79.725
62,SOFT,18,76.506
28,SOFT,43,82.81
9,HARD,32,75.803
46,SOFT,4,72.834
45,HARD,30,75.656
25,SOFT,5,72.918
74,MEDIUM,2,72.955
47,HARD,45,76.542
35,HARD,19,74.152
14,HARD,26,74.785
51,SOFT,1,72.367
23,HARD,22,74.504
19,HARD,33,75.798
37,HARD,49,76.852
38,HARD,40,76.427
54,SOFT,23,77.451
46,HARD,45,76.638
26,HARD,22,74.535
23,HARD,43,76.09
18,MEDIUM,13,73.806
23,SOFT,39,81.407
44,HARD,45,76.991
7,HARD,42,75.983
6,MEDIUM,48,79.802
21,SOFT,31,78.936
45,MEDIUM,40,78.111
17,SOFT,28,78.363
25,SOFT,2,71.959
6,HARD,38,75.35
14,SOFT,11,73.97
64,HARD,18,74.734
35,SOFT,24,77.489
16,SOFT,49,84.068
19,MEDIUM,29,76.643
1,MEDIUM,9,73.836
34,MEDIUM,19,75.298
45,MEDIUM,34,77.321
70,MEDIUM,21,75.504
10,HARD,31,75.372
60,MEDIUM,18,74.73
9,SOFT,45,83.313
16,MEDIUM,4,73.113
20,SOFT,5,72.258
2,HARD,18,73.954
67,SOFT,8,74.101
9,HARD,46,76.479
73,SOFT,10,74.001
56,HARD,2,73.502
23,HARD,21,74.798
51,SOFT,14,75.044
2,HARD,17,73.856
70,SOFT,13,74.793
64,HARD,20,74.744
59,SOFT,19,76.453
68,MEDIUM,16,74.917
55,HARD,25,75.016
7,HARD,38,76.002
49,MEDIUM,19,75.256
42,HARD,8,73.551
77,SOFT,45,83.506
24,SOFT,6,73.218
6,MEDIUM,23,75.164
24,SOFT,46,83.637
28,HARD,26,75.158
48,MEDIUM,26,76.381
59,SOFT,39,81.861
1,SOFT,45,82.677
56,SOFT,8,74.19
7,HARD,45,76.937
71,HARD,1,73.162
33,HARD,42,76.316
37,MEDIUM,36,78.487
5,HARD,48,76.823
62,HARD,47,76.88
17,SOFT,31,78.431
50,HARD,18,74.264
27,HARD,6,73.143
8,HARD,36,76.005
61,SOFT,41,82.613
13,MEDIUM,49,79.652
71,MEDIUM,29,76.992
64,SOFT,31,79.185
56,HARD,2,73.456
61,MEDIUM,29,76.659
43,MEDIUM,49,80.085
58,SOFT,16,76.079
69,SOFT,39,81.935
64,SOFT,20,76.599
42,SOFT,5,72.965
9,SOFT,2,72.283
34,MEDIUM,22,76.446
38,HARD,29,75.549
1,HARD,1,73.049
27,SOFT,18,76.378
55,MEDIUM,41,78.243
34,MEDIUM,16,74.68
43,MEDIUM,13,74.224
18,HARD,42,76.251
18,HARD,7,73.956
40,MEDIUM,7,73.782
52,MEDIUM,49,79.769
29,MEDIUM,43,78.511
76,HARD,47,77.613
20,MEDIUM,6,72.895
63,HARD,7,73.627
62,SOFT,35,80.841
41,MEDIUM,29,76.596
65,MEDIUM,34,77.334
56,MEDIUM,23,75.587
56,MEDIUM,3,72.813
1,MEDIUM,35,76.937
70,SOFT,29,79.231
26,HARD,40,76.08
74,SOFT,36,80.825
7,HARD,23,74.638
34,SOFT,7,72.988
71,MEDIUM,16,74.528
10,HARD,2,73.01
32,MEDIUM,22,75.156
1,SOFT,20,76.281
18,MEDIUM,19,74.656
23,MEDIUM,45,79.354
57,HARD,27,75.677
55,SOFT,2,72.452
29,MEDIUM,16,75.06
67,MEDIUM,35,77.71
23,SOFT,41,81.774
58,HARD,3,73.89
1,HARD,41,76.235
52,SOFT,14,74.765
30,HARD,26,75.458
74,SOFT,17,76.104
56,HARD,12,74.243
15,SOFT,32,79.636
36,MEDIUM,2,73.103
13,MEDIUM,7,73.682
75,MEDIUM,26,76.171
48,MEDIUM,25,75.956
40,SOFT,24,77.125
17,MEDIUM,33,77.28
9,SOFT,24,77.162
50,SOFT,17,75.987
24,HARD,29,75.755
17,MEDIUM,45,78.895
17,SOFT,45,82.804
49,SOFT,14,75.965
9,HARD,43,76.35
27,SOFT,15,74.765
52,HARD,26,75.179
26,MEDIUM,25,76.051
53,MEDIUM,32,77.213
42,HARD,2,72.794
49,SOFT,3,72.763
72,HARD,26,75.816
49,SOFT,1,72.386
16,SOFT,10,74.438
20,MEDIUM,16,74.503
43,HARD,41,76.496
45,SOFT,26,77.81
52,HARD,3,72.778
30,MEDIUM,14,74.61
44,SOFT,12,75.326
26,MEDIUM,34,77.543
48,SOFT,28,78.91
20,MEDIUM,20,75.315
3,HARD,46,77.121
34,MEDIUM,16,74.69
6,SOFT,46,82.726
52,MEDIUM,12,74.289
51,HARD,30,75.63
27,HARD,6,73.1
48,SOFT,43,83.037
69,HARD,3,73.295
9,HARD,37,75.459
21,SOFT,26,78.05
38,SOFT,11,74.487
14,HARD,14,74.257
38,MEDIUM,12,73.673
17,SOFT,10,74.02
62,SOFT,3,72.699
42,HARD,4,73.891
4,SOFT,34,79.535
6,SOFT,10,73.94
63,SOFT,11,74.088
10,SOFT,36,80.216
8,SOFT,20,76.121
54,SOFT,14,75.601
21,MEDIUM,21,75.256
26,SOFT,1,72.247
61,MEDIUM,38,77.628
17,HARD,6,73.327
24,HARD,38,76.37
57,SOFT,6,73.0
33,MEDIUM,39,77.959
76,SOFT,32,79.846
74,MEDIUM,27,77.119
25,MEDIUM,26,76.112
57,HARD,23,75.39
33,MEDIUM,47,79.432
35,SOFT,34,79.967
72,MEDIUM,46,79.913
44,SOFT,30,78.955
66,SOFT,11,74.164
36,MEDIUM,26,75.644
42,SOFT,4,72.829
19,HARD,18,74.146
24,SOFT,12,74.24
18,MEDIUM,8,73.53
29,MEDIUM,13,74.478
58,HARD,26,75.004
28,HARD,44,76.581
76,MEDIUM,13,74.695
76,MEDIUM,26,76.35
60,HARD,40,76.337
75,SOFT,5,73.4
41,MEDIUM,13,74.225
40,MEDIUM,7,73.279
70,HARD,15,74.056
23,MEDIUM,37,77.744
40,SOFT,21,76.911
44,MEDIUM,25,76.237
9,MEDIUM,37,77.934
56,MEDIUM,28,76.678
77,HARD,5,73.643
75,MEDIUM,14,73.889
68,MEDIUM,38,77.932
51,SOFT,8,73.939
15,MEDIUM,43,78.651
12,HARD,10,73.699
18,MEDIUM,4,72.89
36,HARD,12,73.906
9,SOFT,3,72.238
4,HARD,34,75.584
45,SOFT,41,81.807
1,SOFT,34,79.512
17,HARD,32,75.269
42,HARD,46,76.819
49,MEDIUM,39,78.647
68,SOFT,9,73.957
2,HARD,23,74.609
48,HARD,40,76.812
55,HARD,43,76.775
77,SOFT,47,84.119
68,HARD,27,75.402
67,MEDIUM,36,78.078
49,MEDIUM,49,80.146
53,MEDIUM,23,75.994
28,HARD,23,74.549
77,SOFT,37,80.728
45,HARD,30,75.42
44,HARD,45,76.713
68,HARD,44,77.233
42,HARD,10,73.784
69,SOFT,13,74.594
8,HARD,21,74.387
30,SOFT,28,78.334
38,HARD,40,76.408
50,HARD,19,74.618
10,SOFT,36,80.696
57,HARD,6,73.652
56,SOFT,28,78.906
20,MEDIUM,23,75.908
18,SOFT,21,76.65
57,HARD,6,73.541
3,SOFT,45,82.349
40,MEDIUM,21,75.42
55,MEDIUM,45,78.988
56,SOFT,34,80.49
66,HARD,9,73.477
7,HARD,19,74.908
73,HARD,20,75.301
47,SOFT,27,78.936
69,HARD,17,74.768
71,HARD,18,74.038
25,SOFT,4,72.904
76,SOFT,30,79.207
42,SOFT,18,75.98
12,SOFT,19,76.127
76,HARD,19,74.244
49,SOFT,21,76.618
62,HARD,32,76.044
18,HARD,22,74.937
44,SOFT,29,79.238
34,MEDIUM,31,76.71
73,MEDIUM,9,73.974
51,MEDIUM,8,73.961
76,SOFT,28,78.758
22,MEDIUM,43,78.575
55,SOFT,38,81.207
1,HARD,24,74.693
12,MEDIUM,38,77.909
66,HARD,18,75.344
68,MEDIUM,17,74.673
34,HARD,41,76.399
44,MEDIUM,34,77.286
70,HARD,14,74.399
74,HARD,3,74.025
76,HARD,3,73.224
4,SOFT,2,72.008
17,MEDIUM,39,78.332
77,MEDIUM,9,73.838
24,HARD,21,74.185
48,SOFT,40,81.168
56,MEDIUM,35,78.196
13,MEDIUM,14,74.27
17,HARD,6,73.256
2,SOFT,41,81.507
52,SOFT,13,74.762
22,HARD,26,74.841
55,HARD,43,76.776
39,SOFT,20,76.626
57,SOFT,41,82.471
57,MEDIUM,33,77.912
45,MEDIUM,16,75.337
34,SOFT,10,74.142
31,HARD,8,73.667
41,MEDIUM,6,72.907
20,HARD,32,75.129
71,SOFT,12,74.61
45,HARD,17,74.592
70,HARD,46,77.299
72,MEDIUM,2,73.655
5,MEDIUM,47,79.566
38,HARD,18,73.923
48,HARD,42,76.552
16,MEDIUM,23,75.608
59,SOFT,16,76.037
53,SOFT,28,78.776
58,SOFT,27,78.27
26,SOFT,27,78.007
69,SOFT,38,81.304
53,HARD,28,75.563
9,HARD,19,74.584
4,SOFT,39,81.613
58,SOFT,11,74.469
21,HARD,27,74.549
36,MEDIUM,27,76.027
65,HARD,47,78.023
25,HARD,1,73.453
67,HARD,38,76.31
64,MEDIUM,44,79.212
9,MEDIUM,5,72.674
10,SOFT,31,78.345
36,MEDIUM,12,73.94
49,MEDIUM,48,79.804
5,HARD,10,74.032
26,SOFT,26,77.608
16,SOFT,15,75.167
13,HARD,31,75.191
21,HARD,43,76.543
46,MEDIUM,38,78.314
72,SOFT,11,74.729
72,MEDIUM,21,75.264
64,HARD,21,74.969
9,MEDIUM,31,77.278
26,HARD,30,75.606
71,SOFT,37,81.448
28,HARD,41,76.257
73,SOFT,33,80.057
77,SOFT,27,78.954
5,HARD,29,75.661
42,MEDIUM,7,73.264
25,MEDIUM,2,72.619
1,SOFT,27,77.997
6,SOFT,3,72.028
53,SOFT,6,73.54
76,HARD,2,73.903
20,MEDIUM,37,77.626
1,SOFT,1,72.016
3,SOFT,45,82.567
45,MEDIUM,44,79.261
65,MEDIUM,13,74.735
16,HARD,15,73.856
11,HARD,34,75.563
13,HARD,5,73.702
41,MEDIUM,11,74.326
3,HARD,39,75.347
26,HARD,49,77.149
32,MEDIUM,36,77.322
60,SOFT,1,72.084
55,MEDIUM,36,77.605
58,SOFT,16,75.419
53,HARD,22,74.936
50,SOFT,18,76.038
44,MEDIUM,21,75.245
39,HARD,47,77.053
49,HARD,9,73.067
48,SOFT,2,72.609
16,HARD,41,76.02
14,SOFT,7,72.698
32,SOFT,42,82.041
69,MEDIUM,43,79.234
18,SOFT,36,80.655
25,SOFT,29,78.957
4,SOFT,15,74.751
44,MEDIUM,49,80.164
57,MEDIUM,48,79.902
68,MEDIUM,13,75.079
44,SOFT,8,73.464
5,MEDIUM,44,78.596
57,SOFT,3,72.592
9,SOFT,30,78.473
44,SOFT,39,82.042
9,HARD,23,75.032
77,HARD,2,73.88
58,MEDIUM,5,73.431
34,HARD,25,74.826
71,SOFT,30,79.389
3,HARD,13,73.524
53,MEDIUM,24,75.688
76,SOFT,42,82.09
66,SOFT,36,80.964
52,MEDIUM,21,75.516
22,MEDIUM,44,78.794
8,HARD,30,74.695
73,MEDIUM,47,80.0
75,HARD,5,73.554
27,HARD,8,73.666
50,MEDIUM,19,75.178
39,MEDIUM,29,76.481
16,SOFT,19,76.237
26,HARD,7,73.421
69,MEDIUM,28,76.438
5,SOFT,26,77.946
23,SOFT,43,82.306
18,SOFT,43,82.541
33,SOFT,39,81.042
65,MEDIUM,48,79.799
50,MEDIUM,46,79.254
18,MEDIUM,42,78.482
62,MEDIUM,17,75.87
22,SOFT,6,72.757
22,HARD,14,73.155
48,HARD,23,74.725
10,SOFT,21,76.477
52,SOFT,9,74.225
35,HARD,34,75.715
59,MEDIUM,3,72.755
67,SOFT,19,76.802
73,MEDIUM,39,78.651
68,HARD,30,75.376
63,SOFT,1,72.022
37,SOFT,2,72.241
48,SOFT,16,75.687
29,HARD,46,76.304
15,HARD,48,76.391
74,HARD,16,74.481
64,SOFT,32,79.47
31,MEDIUM,38,77.736
26,HARD,40,76.297
38,MEDIUM,9,73.5
65,HARD,21,75.116
28,MEDIUM,44,78.92
40,SOFT,17,75.467
66,HARD,12,74.067
30,MEDIUM,22,75.631
31,MEDIUM,24,75.466
46,SOFT,39,81.523
21,HARD,2,73.087
52,MEDIUM,5,72.726
20,HARD,38,76.617
2,MEDIUM,25,75.553
1,SOFT,3,72.433
13,HARD,5,73.467
76,SOFT,35,80.284
22,MEDIUM,5,73.183
33,HARD,5,73.209
16,MEDIUM,20,75.094
39,SOFT,42,82.028
47,SOFT,46,83.174
60,HARD,13,74.249
15,HARD,32,75.633
41,MEDIUM,16,74.388
49,MEDIUM,24,75.604
29,SOFT,16,74.932
49,HARD,14,73.609
20,MEDIUM,14,74.194
53,MEDIUM,19,74.312
33,HARD,46,76.543
18,HARD,40,76.344
19,MEDIUM,17,74.776
34,HARD,6,73.34
11,MEDIUM,24,75.6
61,HARD,16,73.954
16,HARD,16,74.046
35,MEDIUM,12,74.308
41,SOFT,32,79.587
27,MEDIUM,24,75.599
3,SOFT,38,81.093
55,MEDIUM,39,77.947
26,MEDIUM,47,79.53
54,SOFT,14,75.339
59,HARD,24,74.997
17,HARD,29,74.728
24,MEDIUM,48,79.625
25,SOFT,27,78.149
37,MEDIUM,18,75.01
64,MEDIUM,9,73.546
63,HARD,43,76.803
49,HARD,31,75.639
12,HARD,19,74.809
43,HARD,31,75.981
26,MEDIUM,43,78.583
15,MEDIUM,20,75.555
59,MEDIUM,23,76.219
28,MEDIUM,11,73.717
18,SOFT,11,74.118
74,HARD,14,74.632
76,HARD,44,76.999
56,HARD,39,76.619
21,HARD,48,77.156
13,MEDIUM,23,75.137
21,HARD,37,75.834
72,MEDIUM,18,75.142
6,HARD,31,75.325
67,MEDIUM,14,74.748
15,MEDIUM,2,72.937
7,HARD,29,75.048
32,MEDIUM,17,74.574
6,MEDIUM,6,72.984
40,MEDIUM,34,77.381
75,HARD,15,74.271
76,MEDIUM,44,79.454
28,SOFT,43,82.48
42,MEDIUM,35,77.915
24,HARD,18,74.592
4,SOFT,8,73.494
5,HARD,36,75.602
26,HARD,47,76.669
7,SOFT,37,80.389
53,MEDIUM,39,78.528
4,MEDIUM,38,77.735
28,SOFT,7,73.179
20,SOFT,3,72.257
7,HARD,23,74.335
34,HARD,7,74.131
41,HARD,18,74.608
25,SOFT,42,82.03
27,HARD,39,76.197
19,MEDIUM,4,73.399
33,HARD,14,74.482
30,MEDIUM,19,74.697
48,MEDIUM,11,74.148
54,MEDIUM,12,74.193
2,SOFT,30,79.034
2,SOFT,47,83.745
60,HARD,8,73.861
6,SOFT,47,83.553
27,HARD,32,75.394
33,SOFT,43,82.168
57,SOFT,8,73.766
9,MEDIUM,34,77.107
53,HARD,15,74.072
25,MEDIUM,20,75.519
46,MEDIUM,24,75.609
48,MEDIUM,11,73.903
38,SOFT,46,82.532
40,MEDIUM,37,78.293
33,HARD,17,73.874
52,HARD,46,76.666
77,SOFT,49,84.883
69,SOFT,21,77.048
65,SOFT,13,74.951
46,SOFT,47,84.303
11,SOFT,3,72.117
49,MEDIUM,25,76.359
56,MEDIUM,14,75.538
30,SOFT,4,72.472
68,HARD,38,76.459
75,HARD,22,74.781
12,HARD,39,76.28
62,HARD,39,76.418
77,SOFT,34,80.567
24,HARD,36,75.872
28,HARD,29,75.56
33,HARD,15,74.369
72,SOFT,23,77.842
25,MEDIUM,27,76.324
47,HARD,25,75.388
38,HARD,7,73.741
8,HARD,37,75.803
33,SOFT,27,78.241
64,HARD,42,76.142
20,HARD,29,75.258
53,MEDIUM,38,78.278
31,SOFT,41,82.219
73,SOFT,15,75.476
48,HARD,42,76.778
6,MEDIUM,15,74.284
43,MEDIUM,44,78.961
16,MEDIUM,5,72.786
31,SOFT,32,79.987
5,HARD,20,74.41
58,HARD,9,73.996
64,MEDIUM,22,75.5
51,HARD,20,74.632
33,MEDIUM,11,73.899
34,HARD,44,76.618
61,HARD,25,75.073
34,HARD,38,76.664
59,SOFT,44,82.953
63,MEDIUM,49,80.379
62,MEDIUM,6,73.701
17,HARD,34,75.641
19,SOFT,40,81.261
53,HARD,18,74.6
43,MEDIUM,48,79.321
12,HARD,49,76.941
49,HARD,1,73.214
24,SOFT,37,80.47
71,MEDIUM,17,75.069
24,SOFT,7,73.501
23,SOFT,13,74.916
39,HARD,42,76.588
75,MEDIUM,7,73.706
62,HARD,29,75.706
34,HARD,11,74.146
75,HARD,4,73.915
37,HARD,13,74.091
44,SOFT,21,76.721
66,SOFT,37,81.189
70,SOFT,11,74.859
66,SOFT,43,82.415
58,HARD,4,73.625
30,SOFT,28,78.614
25,HARD,9,74.026
10,MEDIUM,18,75.17
65,HARD,33,76.684
31,HARD,18,74.631
55,HARD,17,74.621
2,SOFT,25,77.775
5,HARD,22,74.689
26,SOFT,13,74.596
33,HARD,39,76.239
8,SOFT,28,78.168
19,HARD,25,74.97
13,MEDIUM,49,79.484
77,SOFT,5,73.224
63,HARD,47,77.55
48,SOFT,30,79.229
57,SOFT,21,76.988
64,HARD,20,74.888
70,MEDIUM,10,74.575
27,HARD,23,74.565
6,MEDIUM,1,72.682
25,MEDIUM,22,75.518
48,HARD,24,74.346
65,MEDIUM,6,73.445
12,MEDIUM,11,73.958
71,MEDIUM,39,78.174
18,SOFT,13,74.598
73,SOFT,24,77.858
60,SOFT,10,74.557
15,MEDIUM,38,77.875
15,HARD,11,74.212
10,SOFT,28,77.913
2,MEDIUM,41,78.169
26,MEDIUM,43,78.91
2,SOFT,19,76.496
61,SOFT,20,76.794
22,HARD,12,74.031
30,MEDIUM,1,72.895
24,SOFT,11,73.853
24,HARD,13,74.318
38,MEDIUM,16,74.764
75,MEDIUM,1,72.867
58,SOFT,17,76.19
42,MEDIUM,39,78.442
14,MEDIUM,42,77.896
32,HARD,42,76.912
56,HARD,1,73.503
2,SOFT,42,82.308
53,SOFT,9,73.93
40,HARD,36,75.965
76,MEDIUM,18,74.695
39,MEDIUM,43,78.637
7,MEDIUM,47,79.237
1,SOFT,16,75.677
66,SOFT,33,80.177
20,MEDIUM,47,79.05
77,SOFT,4,72.984
18,SOFT,13,74.632
73,SOFT,19,76.854
10,HARD,39,75.507
71,MEDIUM,41,78.604
25,HARD,44,76.42
60,MEDIUM,9,73.815
51,SOFT,49,84.138
62,MEDIUM,41,78.787
36,SOFT,14,75.188
48,MEDIUM,36,77.738
68,SOFT,28,78.465
42,HARD,40,76.46
10,SOFT,29,78.527
65,HARD,21,74.797
60,HARD,4,73.807
48,SOFT,34,80.3
61,SOFT,34,80.048
5,SOFT,1,71.712
28,HARD,49,77.004
13,HARD,17,74.249
28,MEDIUM,11,73.904
73,HARD,31,75.367
21,MEDIUM,8,73.11
17,MEDIUM,30,76.725
48,HARD,20,74.399
3,MEDIUM,25,75.757
76,SOFT,22,77.461
70,MEDIUM,22,75.874
66,MEDIUM,2,72.73
48,SOFT,8,73.761
15,MEDIUM,13,74.389
19,MEDIUM,5,73.079
11,HARD,38,75.512
68,SOFT,6,72.794
17,MEDIUM,47,79.629
75,MEDIUM,29,77.442
75,MEDIUM,25,76.165
19,MEDIUM,25,75.965
42,HARD,26,74.59
66,SOFT,25,78.094
73,MEDIUM,16,75.025
32,SOFT,31,79.448
72,MEDIUM,34,77.652
54,MEDIUM,32,76.705
37,MEDIUM,28,76.289
10,HARD,4,73.417
14,HARD,11,73.596
75,HARD,2,73.247
67,SOFT,41,82.603
49,MEDIUM,34,77.497
58,MEDIUM,31,77.185
25,MEDIUM,30,76.64
72,HARD,19,74.874
17,HARD,44,76.379
62,MEDIUM,9,73.587
40,HARD,44,77.124
44,MEDIUM,47,79.531
73,HARD,13,74.448
48,SOFT,13,74.492
58,SOFT,39,81.934
77,HARD,24,75.305
77,MEDIUM,10,74.035
14,MEDIUM,9,73.476
24,SOFT,17,75.72
62,MEDIUM,13,74.461
16,HARD,12,74.349
59,MEDIUM,16,75.267
51,HARD,49,77.513
30,MEDIUM,33,77.255
23,HARD,28,75.297
45,MEDIUM,30,76.757
64,MEDIUM,46,80.202
56,MEDIUM,46,79.374
62,SOFT,31,79.745
57,SOFT,24,77.707
25,SOFT,8,74.18
57,MEDIUM,9,73.729
16,SOFT,8,72.963
61,MEDIUM,48,79.651
36,MEDIUM,14,74.209
67,MEDIUM,47,80.031
57,SOFT,27,78.606
5,HARD,11,73.49
76,SOFT,15,75.984
37,MEDIUM,20,75.538
2,HARD,26,74.654
16,HARD,23,74.655
38,HARD,17,74.382
63,SOFT,18,76.367
43,HARD,45,77.011
33,MEDIUM,4,72.868
75,MEDIUM,41,79.08
63,MEDIUM,18,75.568
64,SOFT,11,74.767
49,SOFT,25,77.747
69,HARD,8,74.081
19,SOFT,41,81.29
33,MEDIUM,16,73.768
1,MEDIUM,14,73.876
47,HARD,26,74.504
24,MEDIUM,29,75.954
27,MEDIUM,2,72.554
72,MEDIUM,35,78.456
65,HARD,42,76.365
64,HARD,32,75.712
24,MEDIUM,19,75.515
11,SOFT,24,76.852
60,SOFT,27,78.746
65,SOFT,28,78.655
47,HARD,37,75.848
